season,location,matchday_nr,home_team_id,home_team_name,home_team,away_team_id,away_team_name,away_team,goals_home,goals_away,draw,win_home,win_away,goals_total
2012,Sinsheim,28,175,TSG 1899 Hoffenheim,Hoffenheim,185,Fortuna Düsseldorf,Düsseldorf,3,0,0,1,0,3
2012,Dortmund,28,7,Borussia Dortmund,BVB,95,FC Augsburg,Augsburg,4,2,0,1,0,6
2012,Gladbach,28,87,Borussia Mönchengladbach,Gladbach,115,SpVgg Greuther Fürth,Fürth,1,0,0,1,0,1
2012,Frankfurt,28,91,Eintracht Frankfurt,Frankfurt,40,FC Bayern München,Bayern,0,1,0,0,1,1
2012,Bremen,28,134,Werder Bremen,Bremen,9,FC Schalke 04,Schalke,0,2,0,0,1,2
2012,Leverkusen,28,6,Bayer Leverkusen,Leverkusen,131,VfL Wolfsburg,Wolfsburg,1,1,1,0,0,2
2012,Hamburg,28,100,Hamburger SV,HSV,112,SC Freiburg,Freiburg,0,1,0,0,1,1
2012,Nürnberg,28,79,1. FC Nürnberg,Nürnberg,81,1. FSV Mainz 05,Mainz,2,1,0,1,0,3
2012,Hannover,28,55,Hannover 96,Hannover,16,VfB Stuttgart,Stuttgart,0,0,1,0,0,0
2012,Freiburg,29,112,SC Freiburg,Freiburg,55,Hannover 96,Hannover,3,1,0,1,0,4
2012,München,29,40,FC Bayern München,Bayern,79,1. FC Nürnberg,Nürnberg,4,0,0,1,0,4
2012,Wolfsburg,29,131,VfL Wolfsburg,Wolfsburg,175,TSG 1899 Hoffenheim,Hoffenheim,2,2,1,0,0,4
2012,Mainz,29,81,1. FSV Mainz 05,Mainz,100,Hamburger SV,HSV,1,2,0,0,1,3
2012,Fürth,29,115,SpVgg Greuther Fürth,Fürth,7,Borussia Dortmund,BVB,1,6,0,0,1,7
2012,Düsseldorf,29,185,Fortuna Düsseldorf,Düsseldorf,134,Werder Bremen,Bremen,2,2,1,0,0,4
2012,Gelsenkirchen,29,9,FC Schalke 04,Schalke,6,Bayer Leverkusen,Leverkusen,2,2,1,0,0,4
2012,Stuttgart,29,16,VfB Stuttgart,Stuttgart,87,Borussia Mönchengladbach,Gladbach,2,0,0,1,0,2
2012,Augsburg,29,95,FC Augsburg,Augsburg,91,Eintracht Frankfurt,Frankfurt,2,0,0,1,0,2
2012,Gladbach,30,87,Borussia Mönchengladbach,Gladbach,95,FC Augsburg,Augsburg,1,0,0,1,0,1
2012,Dortmund,30,7,Borussia Dortmund,BVB,81,1. FSV Mainz 05,Mainz,2,0,0,1,0,2
2012,Hannover,30,55,Hannover 96,Hannover,40,FC Bayern München,Bayern,1,6,0,0,1,7
2012,Hamburg,30,100,Hamburger SV,HSV,185,Fortuna Düsseldorf,Düsseldorf,2,1,0,1,0,3
2012,Frankfurt,30,91,Eintracht Frankfurt,Frankfurt,9,FC Schalke 04,Schalke,1,0,0,1,0,1
2012,Leverkusen,30,6,Bayer Leverkusen,Leverkusen,175,TSG 1899 Hoffenheim,Hoffenheim,5,0,0,1,0,5
2012,Bremen,30,134,Werder Bremen,Bremen,131,VfL Wolfsburg,Wolfsburg,0,3,0,0,1,3
2012,Stuttgart,30,16,VfB Stuttgart,Stuttgart,112,SC Freiburg,Freiburg,2,1,0,1,0,3
2012,Nürnberg,30,79,1. FC Nürnberg,Nürnberg,115,SpVgg Greuther Fürth,Fürth,0,1,0,0,1,1
2012,Fürth,31,115,SpVgg Greuther Fürth,Fürth,55,Hannover 96,Hannover,2,3,0,0,1,5
2012,Leverkusen,31,6,Bayer Leverkusen,Leverkusen,134,Werder Bremen,Bremen,1,0,0,1,0,1
2012,Sinsheim,31,175,TSG 1899 Hoffenheim,Hoffenheim,79,1. FC Nürnberg,Nürnberg,2,1,0,1,0,3
2012,München,31,40,FC Bayern München,Bayern,112,SC Freiburg,Freiburg,1,0,0,1,0,1
2012,Wolfsburg,31,131,VfL Wolfsburg,Wolfsburg,87,Borussia Mönchengladbach,Gladbach,3,1,0,1,0,4
